source_id,priority_tier,name,direct_url,organization_or_author,source_category,genre,major_topics,register,estimated_cefr,german_variety,modality,format,approximate_usable_material,access_class,transcript_or_download_availability,rights_and_access_notes,linguistic_coverage_added,main_risk_or_limitation,recommended_acquisition_scope,command_or_download_hint,verified_on
verbraucherzentrale,1,Verbraucherzentrale information and Musterbriefe,https://www.verbraucherzentrale.de/musterbriefe,German consumer centres,consumer/practical corpus,"advice articles, complaints and model letters",contracts; purchases; banking; telecoms; energy; travel; refunds; scams,neutral advice plus formal correspondence,B1–C1,Germany Standard German,written,"HTML, downloadable model-letter files/PDFs",Large advice site plus many reusable letter templates,downloadable_manual,Model letters and articles available individually,"Terms vary; model letters intended for consumer use, but preserve source and do not republish wholesale without checking","Complaints, requests, deadlines, cancellation, negotiation, customer-service and legal-practical collocations",Template formulaicity and legal topic skew,Acquire all clearly downloadable model letters and a balanced sample of advice articles,manual direct downloads,2026-08-05
gesund_bund,1,gesund.bund.de – Diseases A–Z and health information,https://gesund.bund.de/krankheiten,Federal Ministry of Health service,official patient-information corpus,disease and health explanations,symptoms; causes; diagnosis; treatment; prevention; care,clear neutral medical/consumer,B1–C1,Germany Standard German,written,structured HTML; some media,Large A–Z collection with many detailed pages,web_reference,Public pages; no complete bulk dump identified,Respect site terms/robots; preserve medical review/update metadata,"Patient-facing medical collocations, explanations, uncertainty, advice and care pathways",Topic concentration; lengthy page boilerplate,Acquire 100–200 diverse condition pages only through permitted means; keep section labels,manual/permitted crawler,2026-08-05
rki_ratgeber,2,RKI-Ratgeber,https://www.rki.de/ratgeber,Robert Koch Institute,public-health expert corpus,professional infectious-disease guidance,epidemiology; transmission; diagnosis; prevention; reporting; hygiene,formal technical medical/public health,C1,Germany Standard German,written,HTML and linked PDFs,"Dozens of detailed disease guides, updated individually",downloadable_manual,Web/PDF pages,Official guidance; retain update date and citation,"Technical causation, risk, surveillance, recommendation and passive constructions",Specialized and institutionally formulaic,Acquire all current Ratgeber documents but cap total influence; retain section/date metadata,manual link collector,2026-08-05
uba_publications,2,Umweltbundesamt publications,https://www.umweltbundesamt.de/publikationen,German Environment Agency,scientific/official corpus,"reports, guidance and studies",climate; air; water; chemicals; waste; transport; health; agriculture; procurement,formal technical and public-facing,B2–C1,Germany Standard German,written,HTML metadata + downloadable PDFs,Thousands of publications over many years,downloadable_manual,PDFs from publication pages,Per-document reuse/licence may vary; retain report metadata and only redistribute when allowed,"Environmental/scientific vocabulary, measurements, uncertainty, methods, policy recommendations","PDF extraction issues, very long documents, bureaucratic style",Acquire 30–60 recent reports spanning topics and audience levels; extract executive summaries and prose sections,manual PDF downloader,2026-08-05
destatis_press,1,Destatis press releases,https://www.destatis.de/DE/Presse/_inhalt.html,Federal Statistical Office,official statistical/news corpus,press releases and statistical explanations,population; prices; labor; trade; education; health; economy; environment,formal concise explanatory,B2–C1,Germany Standard German,written,HTML; tables and linked files,Continuous archive with hundreds of releases per year,web_reference,Public release pages; email service; no bulk text dump assumed,Official content; preserve release number/date and source citation,"Numbers, comparisons, trends, percentages, methodological hedges and reported findings",Repetitive release formulas and numeric density,Acquire 300–500 releases across 3–5 years and all major topic departments,RSS/page collector after terms review,2026-08-05
ssoar,2,SSOAR – Social Science Open Access Repository,https://www.gesis.org/ssoar,GESIS – Leibniz Institute for the Social Sciences,academic repository,"papers, reports and working papers",sociology; politics; media; migration; inequality; methods; culture,academic formal,C1,Germany and broader DACH Standard German,written,PDF full texts + OAI-PMH metadata,Large and continuously growing full-text repository,downloadable_mixed,Freely accessible full texts; metadata harvestable via OAI-PMH,Metadata CC0; each full text has its own licence/terms on cover page,"Academic argument, methods, evidence, hedging, comparison and conclusions","Many English texts, long PDFs, varied licences and OCR quality","Harvest metadata first; select 100–300 German, recent, openly licensed documents across subfields",OAI metadata + licence-aware PDF fetch,2026-08-05
pedocs,2,peDOCS,https://www.pedocs.de/,DIPF | Leibniz Institute for Research and Information in Education,academic repository,education research full texts,schools; teaching; learning; higher education; policy; childhood; vocational education,academic formal,C1,Germany/DACH Standard German,written,PDF full texts + repository metadata/OAI,Large education-science open-access collection,downloadable_mixed,Freely accessible full texts; repository metadata,Licence varies by item; retain cover metadata and rights,"Education/research terminology, literature review, argumentation and findings","Long PDFs, older publications, mixed licences",Select 100–200 recent German OA papers/reports across education topics,"metadata-first, licence-aware downloads",2026-08-05
gms,2,German Medical Science,https://www.egms.de/,German Association of the Scientific Medical Societies and partners,academic medical repository,"peer-reviewed articles, guidelines and conference material",medicine; healthcare; public health; clinical research,academic/technical medical,C1,Germany Standard German; some English,written,"HTML, PDF and often XML",Large multi-journal open-access platform,downloadable_mixed,Article-level HTML/PDF/XML where offered,Open-access terms vary by journal/article; preserve licence and citation,"Research abstracts, methods, outcomes, medical argument and formal terminology",Many English articles and highly specialized text,Select German-language HTML/XML first; 50–150 documents across specialties,manual/API-like article downloads,2026-08-05
dwds_dereko_reference,3,DWDS and DeReKo/COSMAS II reference corpora,https://www.dwds.de/,Berlin-Brandenburg Academy / IDS Mannheim,query/reference corpus,large balanced and monitor corpora,general language across genres and periods,all registers depending subcorpus,A1–C1,Germany/DACH varieties by corpus,written and spoken query results,web corpus interfaces; some CLARIN downloads,Billions of tokens queryable across DWDS/DeReKo collections,query_only,Concordance/query access; most DeReKo text is not bulk downloadable,Access and citation terms apply; do not scrape query services,"Best source for validating collocations, case government, frequency, sense/register and diachrony",Not a convenient repo corpus; copyright prevents bulk export,"Use programmatically/manual queries during sentence review, not bulk ingestion",reference only,2026-08-05
swiss_text_corpus,3,Swiss Text Corpus,https://www.chtk.ch/index.php/en/corpus-overview,University of Basel / Swiss corpus partners,regional reference corpus,balanced Swiss Standard German text,news; literature; nonfiction; practical and institutional texts,mixed written registers,B1–C1,CH Standard German,written,corpus query/download access varies,About 23.5 million words,query_or_request,Corpus interface and project access; bulk availability depends on current terms,Follow corpus licence/access terms,"Swiss lexical, orthographic and institutional variants in balanced genres",Regional and often query-only; possible older material,Use as CH validation and acquire only permitted exports/samples,reference/query,2026-08-05
austrian_media_corpus,3,Austrian Media Corpus,https://www.oeaw.ac.at/acdh/research/language-resources/austrian-media-corpus,Austrian Academy of Sciences / Austrian Press Agency,regional reference corpus,Austrian journalistic prose,politics; society; economy; culture; sports,edited journalistic,B1–C1,AT Standard German,written,corpus interface/research access,Very large media corpus spanning the Austrian media landscape,query_or_request,Research/query access; bulk rights constrained by source copyright,Follow ACDH/APA access conditions,"Austrian vocabulary, institutions, spelling and journalistic usage",Copyright/access limits; genre concentrated in news,"Use for AT validation and targeted concordance samples, not repo bulk",reference/query,2026-08-05
c4_dach,3,"C4 – Corpus of Contemporary German in Germany, Austria, Switzerland and South Tyrol",https://www.dwds.de/d/korpora/c4,DWDS / partner institutions,regional comparative reference corpus,contemporary DACH mixed corpus,general language by country/region,mixed written,B1–C1,DE/AT/CH/South Tyrol labeled,written,DWDS corpus query,Large federated contemporary corpus,query_only,Queryable through DWDS; component download rights vary,Follow DWDS/component terms,Direct comparison of regional lexical and grammatical preferences,Not bulk downloadable as a unified open corpus,Use for regional validation and sense/register checks,reference only,2026-08-05
tagesschau_rss,2,tagesschau.de RSS and article archive,https://www.tagesschau.de/infoservices/alle-meldungen-100.html,ARD-aktuell,public-broadcast news corpus,"news articles, interviews and reports",Germany; world; economy; science; culture; regional news,edited broadcast/web journalistic,B2–C1,Germany Standard German,written + some video/audio transcripts,"HTML, RSS and media pages",Large current archive and many topical feeds,web_reference,RSS available; articles publicly readable,Terms specify private/non-commercial constraints for feeds; do not mirror/redistribute indiscriminately,"Current native journalism, quotations, interviews, analysis and regional reporting",Copyright restrictions and heavy current-news/named-entity skew,Use RSS to build a metadata/link queue; manually retain small internal excerpts only where lawful,RSS metadata only by default,2026-08-05
dlf_podcasts,3,Deutschlandfunk podcast/audio archive,https://www.deutschlandfunk.de/podcasts,Deutschlandradio,spoken journalism/culture reference,"interviews, reports, discussions and features",politics; science; culture; society; history; media,neutral/formal spontaneous and scripted spoken,B2–C1,Germany broadcast Standard German,audio; transcripts vary,MP3/podcast feeds; selected manuscripts,Very large audio archive,audio_reference,Audio downloads widely available; transcript availability inconsistent,Deutschlandradio terms; do not assume transcript reuse,"Spontaneous interview syntax, turn-taking, hedging, disagreement, pronunciation",Many items lack transcripts; transcription would be machine-generated unless manually checked,Use only episodes with official manuscripts/transcripts or for audio validation,manual transcript-only selection,2026-08-05
